dataset,partition,num_clients,seed,round,acc,loss,rel,res,fairDP,fairEO,priv
adultnoniid,noniid,4,42,10,0.8421537516634251,0.3538232445716858,0.9896540075749821,0.5508690895830801,0.8979139603175954,0.9635680651193514,0.9587890324991062
adultnoniid,noniid,4,107,10,0.8667212611321528,0.2923566699028015,0.9856484798853516,0.44596669422463686,0.8083504932409818,0.8973049709574438,0.880437618766857
adultnoniid,noniid,4,123,10,0.8619101238611936,0.3057257831096649,0.9877766403930801,0.49144893111638954,0.8625003545435465,0.9754424470473279,0.9149402920901692
adultnoniid,noniid,4,2025,10,0.8258777766403931,0.41673046350479126,0.9896642440372607,0.5282597917699554,0.9333712931290405,0.9911259927942817,0.9712866764463817
adultnoniid,noniid,4,9928,10,0.8502405568635479,0.33495253324508667,0.9856372197768452,0.398747893089333,0.906764690866391,0.9789654524953624,0.9469574555569642
adultnoniid,noniid,20,42,10,0.8515712969597707,0.33695608377456665,0.9880888524925786,0.5880514484914052,0.8815602846937406,0.9502422146003011,0.9407520654449402
adultnoniid,noniid,20,107,10,0.8393899068481933,0.36303818225860596,0.9875401781144436,0.6226829268292683,0.9228980294942413,0.9865175219113814,0.9678369457239235
adultnoniid,noniid,20,123,10,0.8315078308936431,0.39988210797309875,0.9892711638857611,0.6640403791702573,0.9195472620729168,0.9563621132539628,0.9725129976972728
adultnoniid,noniid,20,2025,10,0.8255706827720339,0.4125152826309204,0.9908230115672024,0.7496590204587725,0.9236710762429351,0.96387926429175,0.9754007972681191
adultnoniid,noniid,20,9928,10,0.8502405568635479,0.320524662733078,0.9870815846043607,0.5468336142547556,0.8642575196322579,0.9316029228481165,0.9418036531058644
