dataset,partition,num_clients,seed,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,107,10,0.9132,0.2215857356786728,0.920542,0.5175,0.8789206120139721,0.98497475061232,0.92839552
celebanoniid,noniid,4,123,10,0.9086,0.2484491765499115,0.883046,0.5186,0.8761212876564064,0.9830232056962755,0.8433344
celebanoniid,noniid,4,2025,10,0.9162,0.2056520581245422,0.916004,0.5112,0.8719329605273947,0.9759049375559588,0.91814784
celebanoniid,noniid,4,9928,10,0.914,0.2356492429971695,0.90683,0.5464,0.8592712245199168,0.9665249080999154,0.9326016
celebanoniid,noniid,20,42,10,0.9158,0.2177322208881378,0.8841,0.4999,0.8641630725331673,0.9735479705994636,0.96956672
celebanoniid,noniid,20,107,10,0.9132,0.2219802290201187,0.90285,0.5256,0.8839026550123812,0.986731759141577,0.88117248
celebanoniid,noniid,20,123,10,0.9154,0.216042086482048,0.928098,0.5506,0.8605060758621821,0.969240871369353,0.92779904
celebanoniid,noniid,20,2025,10,0.9146,0.2206659913063049,0.886796,0.562,0.8685777070794863,0.9775715654938713,0.91389056
celebanoniid,noniid,20,9928,10,0.9072,0.232621431350708,0.94147,0.524,0.8726200823234227,0.9808052826861938,0.96872832
celebanoniid,noniid,4,42,10,0.9142,0.253113180398941,0.89871,0.5082,0.8715852998573279,0.9793295363406967,0.87964416
