dataset,partition,num_clients,seed,round,acc,loss,rel,res,fairDP,fairEO,priv
imdbnoniid,noniid,4,42,10,0.8726,0.3051028549671173,0.7427159999999999,0.41760256704102683,,,0.85766272
imdbnoniid,noniid,4,107,10,0.875,0.30103105306625366,0.7411019999999999,0.40594285714285716,,,0.8395455999999999
imdbnoniid,noniid,4,123,10,0.8734,0.3056325614452362,0.73771,0.3991298374169911,,,0.83918592
imdbnoniid,noniid,4,2025,10,0.8718,0.30220159888267517,0.738136,0.4113328745125029,,,0.8221555199999999
imdbnoniid,noniid,4,9928,10,0.8762,0.30016186833381653,0.7396199999999999,0.406756448299475,,,0.83185792
imdbnoniid,noniid,20,42,10,0.8698,0.3073223829269409,0.759894,0.4732122326971718,,,0.9013132800000001
imdbnoniid,noniid,20,107,10,0.8706,0.3050113618373871,0.7622059999999999,0.48564208591775787,,,0.8592243199999998
imdbnoniid,noniid,20,123,10,0.8696,0.3047943711280823,0.760396,0.47079116835326584,,,0.8565247999999999
imdbnoniid,noniid,20,2025,10,0.8692,0.30941274762153625,0.7602,0.48228255867464337,,,0.90634496
imdbnoniid,noniid,20,9928,10,0.8728,0.30366620421409607,0.759378,0.4770852428964253,,,0.8883328000000001
