dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_gtg_loss,global_gtg_acc
cifar,noniid,20,42,1,0,1.0,0.0,1.0,0.0,1.0,0.000539446422945,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,1,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,2,1.0,0.0,1.0,0.0664075477489152,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0010326133830113,0.0010326133830113,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,3,1.0,0.0227056114297164,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,5,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,6,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,-0.00165078125,2.675368309020996,0.1026
cifar,noniid,20,42,1,7,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,8,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,9,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,0.0,0.0,2.675368309020996,0.1026
