dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,noniid,20,42,1,0,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,-0.0199444444444443,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0994031429290771,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,1,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0241222222222221,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0625350475311279,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,2,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0051777777777777,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0563287734985351,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,3,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,-0.0097111111111112,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0919547080993652,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0003666666666666,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0655174255371093,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,5,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0264999999999999,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.1167066097259521,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,6,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.1160111111111108,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0806789398193359,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,7,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0129888888888887,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0575230121612548,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,8,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,-0.0312777777777777,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.1051471233367919,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,9,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,-0.0346999999999999,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0600843429565429,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,10,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0294333333333334,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0788159370422363,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,11,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,0.0307444444444444,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0715148448944091,-0.0,2.675368309020996,0.1026
cifar,noniid,20,42,1,12,1.0,0.0,1.0,0.0,1.0,0.0,0.9003444444444444,-0.0165666666666666,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.675368309020996,-0.0726795196533203,-0.0,2.675368309020996,0.1026
