dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,iid,4,42,1,0,0.8552,0.004,0.5042095416276894,-0.0082434658911075,0.3332422971725464,0.0027601420879364,0.8332666666666666,0.1052444444444444,0.768222,8.799999999997699e-05,0.004
imdb,iid,4,42,1,1,0.8552,-0.0008,0.5042095416276894,-0.0020988695872639,0.3332422971725464,0.000758945941925,0.8332666666666666,0.0115555555555555,0.768222,0.0017119999999999,-0.0008
imdb,iid,4,42,1,2,0.8552,0.003,0.5042095416276894,0.0097246789194049,0.3332422971725464,0.0021826922893524,0.8332666666666666,-0.0164222222222221,0.768222,0.0015359999999999,0.003
imdb,iid,4,42,1,3,0.8552,0.0015999999999999,0.5042095416276894,-0.0018823046703424,0.3332422971725464,0.0010785460472106,0.8332666666666666,-0.020088888888889,0.768222,-0.001294,0.0015999999999999
imdb,iid,4,42,2,0,0.8602,0.0021999999999999,0.482445942803999,-0.0012370408789846,0.3191965222358703,0.0013258457183837,0.7327777777777778,-0.0207777777777775,0.761084,-9.00000000000345e-05,0.0021999999999999
imdb,iid,4,42,2,1,0.8602,-0.0002,0.482445942803999,0.0001121445706192,0.3191965222358703,0.0007742643356323,0.7327777777777778,-0.0155333333333333,0.761084,0.000738,-0.0002
imdb,iid,4,42,2,2,0.8602,0.0005999999999999,0.482445942803999,0.0080392420129334,0.3191965222358703,-0.0004660487174987,0.7327777777777778,-0.0113333333333334,0.761084,-0.000346,0.0005999999999999
imdb,iid,4,42,2,3,0.8602,0.0003999999999999,0.482445942803999,0.0002407788123731,0.3191965222358703,0.0021898746490478,0.7327777777777778,0.0114888888888888,0.761084,-0.0007559999999999,0.0003999999999999
imdb,iid,4,42,3,0,0.8652,0.0023999999999999,0.4660194174757281,-0.0001372816434188,0.3138627707958221,0.0008693039417266,0.7836222222222222,0.002,0.756088,0.0006819999999999,0.0023999999999999
imdb,iid,4,42,3,1,0.8652,0.0033999999999999,0.4660194174757281,-0.0023026990246199,0.3138627707958221,0.0007633864879608,0.7836222222222222,0.0079111111111109,0.756088,0.00097,0.0033999999999999
