dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
adultnoniid,noniid,4,123,acc,10,0.8606817483877572,0.3049146831035614,0.9890132050363396,0.4984538534728829,0.8593954039810986,0.9637170037302016,0.9121951972074822
adultnoniid,noniid,20,42,acc,10,0.8504452861091207,0.3407595455646515,0.989519909919132,0.6292729898892633,0.8893692717581011,0.9578291489215576,0.962362854254746
adultnoniid,noniid,4,9928,acc,10,0.7915856280069608,0.4848376512527466,0.9965093663629848,0.8552954868744342,0.9822513609744936,0.972717439649322,0.9820886331942842
adultnoniid,noniid,4,2025,acc,10,0.8575084450813799,0.318124920129776,0.9887194185689424,0.4347618479169154,0.8714211428971219,0.9652860090783826,0.9455956403130852
adultnoniid,noniid,20,107,acc,10,0.8411301054355614,0.358225017786026,0.987845224690347,0.6143361324084216,0.9223108581088364,0.9856705740289218,0.9497989725262452
adultnoniid,noniid,4,42,acc,10,0.8605793837649708,0.3083216845989227,0.9869607943494728,0.4830498394195314,0.8567036148314547,0.940597947196663,0.9283102624625968
adultnoniid,noniid,20,123,acc,10,0.8245470365441704,0.409223735332489,0.9896744804995392,0.7176908752327746,0.9224063957764882,0.9485530804183656,0.9737054454499172
adultnoniid,noniid,20,2025,acc,10,0.8173815129491248,0.4374142289161682,0.9933995291227352,0.7971195992485911,0.9418627056116208,0.9785281578096978,0.9705520239918276
adultnoniid,noniid,4,107,acc,10,0.8647763332992118,0.2905289828777313,0.987251509878186,0.4752604166666666,0.7929948340641657,0.870013629587524,0.8785856439419093
adultnoniid,noniid,20,9928,acc,10,0.8487050875217524,0.3242846131324768,0.985908486027229,0.5516825473404897,0.8771116140902223,0.9423089023954782,0.9508723599632692
adultnoniid,noniid,4,123,loss,10,0.8586344559320299,0.3106708526611328,0.9891401371685944,0.528969957081545,0.87054617669694,0.9680518050358528,0.9357993240057124
adultnoniid,noniid,4,2025,loss,10,0.8569966219674481,0.323029100894928,0.9874152932746444,0.4320353559483995,0.8763408836926987,0.9733605817045028,0.9502146774874048
adultnoniid,noniid,20,42,loss,10,0.8502405568635479,0.3452908992767334,0.9895475483672844,0.6301468817722129,0.897345319741552,0.9727955558832267,0.9589065835994584
adultnoniid,noniid,20,107,loss,10,0.8504452861091207,0.3267029225826263,0.9881134200020472,0.5436928261916225,0.8957369683974065,0.9882390392835692,0.9456028510082564
adultnoniid,noniid,4,9928,loss,10,0.8541304125294298,0.3356378674507141,0.9865666905517452,0.4313279002876318,0.8852498066555861,0.9816725287575684,0.9408857148414888
adultnoniid,noniid,20,2025,loss,10,0.8442010441191524,0.3507866263389587,0.9882894871532398,0.5925791196798835,0.9023649472722838,0.9677968005787868,0.958766897341836
adultnoniid,noniid,4,42,loss,10,0.8637526870713481,0.2978285253047943,0.9871061521138296,0.4451291775302204,0.8526539238988823,0.957933966586513,0.920083026962634
adultnoniid,noniid,20,9928,loss,10,0.8491145460128979,0.3253932893276214,0.9882567304739482,0.5813140446051839,0.8657405043783765,0.9164774923904556,0.9515910818122122
adultnoniid,noniid,4,107,fairdp,10,0.8625243115979118,0.2997982800006866,0.989323369843382,0.5403512936150012,0.8343070990017944,0.9113365264397482,0.8960241232968507
adultnoniid,noniid,4,107,loss,10,0.8661070733954346,0.2903928756713867,0.9873456853311496,0.4907221368632549,0.8138365582614319,0.9018782020815792,0.8738467079990422
adultnoniid,noniid,20,123,loss,10,0.8531067663015662,0.3187119662761688,0.9844057733647252,0.5299976001919846,0.8492684112100051,0.9068376560173848,0.9254900421976592
adultnoniid,noniid,4,42,fairdp,10,0.8142082096427474,0.4762359261512756,0.9922100522059576,0.7646467186321347,0.9237315850081972,0.9372953356988932,0.9770066023137276
adultnoniid,noniid,4,123,fairdp,10,0.8546422356433616,0.329435795545578,0.99068993755758,0.5926458258474069,0.8842451247898738,0.9639389204470212,0.9437045935817436
adultnoniid,noniid,20,107,fairdp,10,0.8089876138806429,0.4772347807884216,0.9940045040434026,0.8503100088573959,0.9545497391504948,0.991227449508642,0.9601173096259092
adultnoniid,noniid,4,9928,fairdp,10,0.7907667110246699,0.6262614727020264,0.9967581123963558,0.853462783171521,0.9799330716329236,0.9820615882009792,0.9555162153442252
adultnoniid,noniid,20,42,fairdp,10,0.8549493295117208,0.3260131180286407,0.98855768246494,0.5686063218390804,0.8633802370809058,0.9362468127950992,0.951978782445613
adultnoniid,noniid,20,123,fairdp,10,0.8005937148121609,0.5835363268852234,0.9948418466577952,0.8362102032988109,0.960163487120142,0.9810357544467048,0.9857308727087596
adultnoniid,noniid,4,2025,fairdp,10,0.7646637322141467,1.1741209030151367,0.9999518886272905,,0.9935764272977732,0.9930334178021528,0.9886718301951718
adultnoniid,noniid,20,9928,fairdp,10,0.8230115672023749,0.4095294773578644,0.9914904289077696,0.798134328358209,0.9316031135541524,0.9678221155908348,0.985499459700934
adultnoniid,noniid,4,42,faireo,10,0.8342716757088751,0.3769386410713196,0.9897195209335654,0.6252760736196319,0.9217633483281618,0.982996225006138,0.9666924574786984
adultnoniid,noniid,20,2025,fairdp,10,0.7975227761285699,0.6192742586135864,0.9975493909304944,0.9096393274290848,0.9602865373669988,0.9730809719538528,0.978108497150266
adultnoniid,noniid,4,107,faireo,10,0.8637526870713481,0.2961294949054718,0.9883611423891904,0.5189618392984119,0.8323368296054261,0.9139858904008862,0.8860532410900961
adultnoniid,noniid,4,123,faireo,10,0.8595557375371071,0.3166227340698242,0.9875104923738356,0.4692151959032987,0.860766636601374,0.9597176068618908,0.9069528541273012
adultnoniid,noniid,4,2025,faireo,10,0.7647660968369332,1.2157834768295288,0.9998689732828334,,0.9935787436489432,0.9940651696223084,0.9740555833921928
adultnoniid,noniid,4,9928,faireo,10,0.795577848295629,0.667880654335022,0.9965779506602518,0.8257848687596501,0.9719662890541536,0.995851460026133,0.967729791439865
adultnoniid,noniid,20,42,faireo,10,0.8155389497389702,0.5114632248878479,0.9927239226123452,0.8325593071419606,0.9501566609750608,0.9978404041543794,0.9684357688043193
adultnoniid,noniid,20,2025,faireo,10,0.7986487869792199,0.6631234884262085,0.9976906541099396,0.8979748782363497,0.962140705570021,0.9821882723879534,0.9857125944349532
adultnoniid,noniid,20,107,faireo,10,0.8183027945542021,0.4175984263420105,0.9927443955369024,0.7939704778583938,0.9518831462288856,0.9825695551796212,0.9676729443314208
adultnoniid,noniid,20,123,faireo,10,0.8374449790152523,0.3865155577659607,0.9861070733954346,0.6109277594426109,0.8982970091651871,0.941852649058554,0.9618404980812842
adultnoniid,noniid,20,9928,faireo,10,0.8474767120483161,0.3216385841369629,0.9860384890981676,0.578934653943713,0.8677571007981484,0.9279909160149904,0.9446899434614422
adultnoniid,noniid,4,42,rel,10,0.8465554304432388,0.3495043814182281,0.9908137987511516,0.5692865779927448,0.8890351499199205,0.9494925162886214,0.9551964293979036
adultnoniid,noniid,4,107,rel,10,0.8637526870713481,0.2994044125080108,0.9887214658613984,0.5296278739037686,0.8405937233501435,0.9198404521062788,0.9113704949085784
adultnoniid,noniid,4,123,rel,10,0.8500358276179752,0.3317710757255554,0.990750332685024,0.6339113680154143,0.8988954786716057,0.975398860112392,0.9493651569818646
adultnoniid,noniid,4,2025,rel,10,0.7667110246698741,1.1962825059890747,0.9997205445797932,,0.9948295260083692,0.9964229426566448,0.989073281456574
adultnoniid,noniid,4,9928,rel,10,0.7883099600777971,0.6858041286468506,0.996629132971645,0.880794701986755,0.9800607545821208,0.9868782919915576,0.973865589958956
adultnoniid,noniid,20,42,rel,10,0.8517760262053434,0.339754194021225,0.9892158869894564,0.6145895925970436,0.8876960625811905,0.959010426388093,0.9574939581082088
