dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,42,acc,10,0.9192,0.20041781663894653,0.87437,0.5078328981723237,0.8419883420487267,0.9736491539622483,0.9527308800000001
celebanoniid,noniid,4,107,acc,10,0.9042,0.23310814797878265,0.936222,0.4810882548108826,0.8593224586035928,0.9836737678934363,0.9528147200000001
celebanoniid,noniid,4,123,acc,10,0.8376,0.37617725133895874,0.9319459999999999,0.42526265520534856,0.9053964237447575,0.97877650636136,0.9271635199999999
celebanoniid,noniid,4,9928,acc,10,0.9076,0.21056172251701355,0.887084,0.3953283384750992,0.8576702993357679,0.9882695274671414,0.9214060800000001
celebanoniid,noniid,4,2025,acc,10,0.901,0.2339102327823639,0.904876,0.444173140954495,0.8690891763439712,0.985275287365022,0.96580032
celebanoniid,noniid,20,42,acc,10,0.9136,0.2083454132080078,0.923756,0.4868651488616462,0.8500297815879954,0.9704578072338418,0.9328729600000001
celebanoniid,noniid,20,107,acc,10,0.9088,0.2274772971868515,0.914502,0.552156690140845,0.8423974794507043,0.9688852644936302,0.90219136
celebanoniid,noniid,20,123,acc,10,0.909,0.21348237991333008,0.9066,0.4158415841584159,0.8539165869067815,0.9740622172105162,0.9056140799999999
celebanoniid,noniid,20,2025,acc,10,0.9072,0.23834003508090973,0.902684,0.5348324514991182,0.8355768796289831,0.9610974420926996,0.9242067199999999
celebanoniid,noniid,20,9928,acc,10,0.9092,0.22567205131053925,0.926988,0.5431148262208535,0.843085947609052,0.9681434247310189,0.9290867199999999
celebanoniid,noniid,4,42,loss,10,0.8772,0.28270116448402405,0.935562,0.39443684450524397,0.866733760818932,0.9881964565772029,0.98517312
celebanoniid,noniid,4,107,loss,10,0.9128,0.20919987559318542,0.916456,0.41783523225241015,0.8464444891738794,0.9745776332753467,0.9081868799999999
celebanoniid,noniid,4,123,loss,10,0.9114,0.21029701828956604,0.890122,0.4053105113012947,0.8537095535226483,0.9783042464818287,0.9598431999999999
celebanoniid,noniid,4,2025,loss,10,0.9138,0.21835243701934814,0.90822,0.43926460932370326,0.8534351521325672,0.9677058040413125,0.9149696
