dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
imdbnoniid,noniid,4,42,acc,10,0.8906,0.2675873637199402,0.73397,0.3669436335055019,,,0.8147289600000001
imdbnoniid,noniid,4,107,acc,10,0.8884,0.27486568689346313,0.727162,0.3590724898694282,,,0.8259430399999999
imdbnoniid,noniid,4,123,acc,10,0.8668,0.31345078349113464,0.7365740000000001,0.3943239501615136,,,0.85898304
imdbnoniid,noniid,4,2025,acc,10,0.8886,0.26679474115371704,0.729726,0.36551879360792255,,,0.7934156800000001
imdbnoniid,noniid,4,9928,acc,10,0.892,0.2684730887413025,0.726214,0.33721973094170404,,,0.82494464
imdbnoniid,noniid,20,42,acc,10,0.8722,0.30504879355430603,0.756864,0.47466177482228844,,,0.8985657600000001
imdbnoniid,noniid,20,107,acc,10,0.8694,0.3049069046974182,0.759726,0.4807913503565677,,,0.8566323199999999
imdbnoniid,noniid,20,123,acc,10,0.8684,0.3063121438026428,0.758146,0.47996315062183326,,,0.87351296
imdbnoniid,noniid,20,2025,acc,10,0.8698,0.3088007867336273,0.759012,0.47574154978155897,,,0.91385728
imdbnoniid,noniid,20,9928,acc,10,0.8736,0.3026465177536011,0.7587820000000001,0.47985347985347987,,,0.8821273599999999
imdbnoniid,noniid,4,107,loss,10,0.8868,0.2728874385356903,0.726038,0.3572395128552097,,,0.80050048
imdbnoniid,noniid,4,42,loss,10,0.8884,0.27075183391571045,0.73561,0.37415578568212515,,,0.8149811199999999
imdbnoniid,noniid,4,123,loss,10,0.8894,0.2715470790863037,0.725554,0.3514729030807286,,,0.7757056000000002
imdbnoniid,noniid,4,2025,loss,10,0.8888,0.2654535472393036,0.7267520000000001,0.3508100810081008,,,0.7950784
imdbnoniid,noniid,4,9928,loss,10,0.8884,0.27206966280937195,0.7285079999999999,0.35479513732552903,,,0.8455705600000001
imdbnoniid,noniid,20,42,loss,10,0.8738,0.3025166690349579,0.759096,0.473334859235523,,,0.8571878399999999
imdbnoniid,noniid,20,107,loss,10,0.8702,0.3048706650733948,0.762088,0.48862330498735923,,,0.86181888
imdbnoniid,noniid,20,123,loss,10,0.8678,0.3065973222255707,0.758606,0.47960359529845586,,,0.8815334400000001
imdbnoniid,noniid,20,2025,loss,10,0.8704,0.30866631865501404,0.758858,0.47449448529411764,,,0.9205324799999999
imdbnoniid,noniid,20,9928,loss,10,0.8734,0.3026181161403656,0.759324,0.48019235172887564,,,0.87998464
imdbnoniid,noniid,4,42,rel,10,0.8054,0.47441366314888,0.764386,0.4832381425378694,,,0.9527961600000001
imdbnoniid,noniid,4,107,rel,10,0.8228,0.462925523519516,0.7526660000000001,0.4409333981526495,,,0.9552128
imdbnoniid,noniid,4,123,rel,10,0.7648,0.6922860145568848,0.7810900000000001,0.5196129707112971,,,0.9017651200000001
imdbnoniid,noniid,4,2025,rel,10,0.8254,0.434039831161499,0.758526,0.46256360552459413,,,0.93662592
imdbnoniid,noniid,4,9928,rel,10,0.7786,0.5781118869781494,0.774786,0.49807346519393786,,,0.91130304
imdbnoniid,noniid,20,42,rel,10,0.864,0.3140758275985718,0.75815,0.48009259259259257,,,0.9286668800000002
imdbnoniid,noniid,20,107,rel,10,0.869,0.3067488670349121,0.763938,0.49712313003452246,,,0.8696844800000001
