dataset,partition,num_clients,seed,mode,round,acc,loss,rel,res,fairDP,fairEO,priv
adultnoniid,noniid,4,42,adv,10,0.8523902139420616,0.3143844604492187,0.9855072167059064,0.661582802930227,0.7826026427203228,0.8913438499997548,0.9425871035207644
adultnoniid,noniid,4,107,adv,10,0.8071450506704883,0.3766266405582428,0.99617156310779,0.8954977805960684,0.9570003441436024,0.9953799842904958,0.9564935160758256
adultnoniid,noniid,4,123,adv,10,0.8537209540382844,0.31191486120224,0.9905476507319072,0.7262589928057555,0.8370177025956369,0.8985869988231989,0.957421012703568
adultnoniid,noniid,4,2025,adv,10,0.8324291124987204,0.393223762512207,0.9893121097348756,0.823290703393999,0.9191155698507514,0.9643332578962124,0.98322658150668
adultnoniid,noniid,4,9928,adv,10,0.8382638959975433,0.3765865266323089,0.9921404442624628,0.7532055195994627,0.8925767090417114,0.91606454713155,0.9607652660478214
adultnoniid,noniid,20,42,adv,10,0.8410277408127751,0.3417034149169922,0.9903715835807144,0.7856621226874392,0.886786634748293,0.9189153081520504,0.9713879615599516
adultnoniid,noniid,20,107,adv,10,0.8305865492885659,0.3453055620193481,0.9910123861193572,0.7754498397830909,0.9156950282594842,0.9509797110985754,0.973726909844846
adultnoniid,noniid,20,123,adv,10,0.7895383355512335,0.5246464610099792,0.998242399426758,0.8891481913652275,0.9726811433887556,0.9917502674072464,0.9867262840235816
adultnoniid,noniid,20,2025,adv,10,0.8057119459514792,0.4051100015640259,0.9951161838468624,0.8555456739931394,0.954201719205293,0.9800769290370196,0.9637454631312125
adultnoniid,noniid,20,9928,adv,10,0.8080663322755656,0.4049120843410492,0.9959351008291536,0.3367114263997973,0.9543965763384256,0.9930388961028128,0.9851452971846092
adultnoniid,noniid,4,42,dp,10,0.7839082812979834,1.010523796081543,0.9966383457876956,0.3258030817445808,0.9596067119347866,0.9511037939961212,0.9798310148433
adultnoniid,noniid,4,107,dp,10,0.7704985157129696,0.8646551966667175,0.998948715323984,0.1345821708516009,0.9879325667629134,0.9906185162668192,0.989793847901956
adultnoniid,noniid,4,123,dp,10,0.6673149759443137,1.287480354309082,0.9834189784010646,0.1073784322748887,0.6318201414770568,0.8005437002420679,0.973418862239501
adultnoniid,noniid,4,2025,dp,10,0.8270037874910431,0.616722583770752,0.9868226021087112,0.0100259933160045,0.8584772780131947,0.8469542157267773,0.9685201171687658
adultnoniid,noniid,4,9928,dp,10,0.8172791483263384,0.6561612486839294,0.9887900501586652,0.0043837675350701,0.8761816227316304,0.8461719156865428,0.9585549364419144
adultnoniid,noniid,20,42,dp,10,0.8277203398505476,0.5105624794960022,0.9871829255809192,0.0220133564185011,0.7280358382071253,0.6989841323674137,0.967987531869596
adultnoniid,noniid,20,107,dp,10,0.7649708260825059,1.1420458555221558,0.9998638550516942,0.0952763281145456,0.9940405484363212,0.9955681808657167,0.9775834579274384
adultnoniid,noniid,20,123,dp,10,0.8011055379260927,0.7212994694709778,0.9931108608864776,0.0153335037055967,0.916127004116487,0.8927759689434944,0.9757965470496184
adultnoniid,noniid,20,2025,dp,10,0.8156413143617566,0.6598920226097107,0.9899222028866824,0.0075301204819276,0.9030774852557156,0.930249672591048,0.9738040475141212
adultnoniid,noniid,20,9928,dp,10,0.8023339133995291,0.6997338533401489,0.9917166547241272,0.0042102577188057,0.9147601205637148,0.8958184564068672,0.9745576490048236
adultnoniid,noniid,4,42,fair,10,0.8373426143924659,0.3685852587223053,0.9910891595864468,0.5562347188264058,0.9479724363665244,0.93679119371626,0.9617356914654211
adultnoniid,noniid,4,107,fair,10,0.8637526870713481,0.2989546656608581,0.9867775616746852,0.2466224223749703,0.9022783913744756,0.9432878181551057,0.9178064595755016
adultnoniid,noniid,4,123,fair,10,0.8610912068789026,0.3146801888942718,0.9824598218855564,0.3672135045173561,0.870460188068806,0.9732315152557234,0.9263134029718796
adultnoniid,noniid,4,2025,fair,10,0.8196335346504248,0.4980831742286682,0.991508854539871,0.6548020482078182,0.96254403430847,0.9510879673137218,0.9741734698737154
adultnoniid,noniid,4,9928,fair,10,0.8405159176988433,0.4400398135185241,0.9891401371685944,0.4973815613201803,0.9151006241857316,0.9815618844159888,0.9709462645580582
adultnoniid,noniid,20,42,fair,10,0.8363189681646023,0.3712314367294311,0.9910727812468012,0.5742962056303549,0.949961236572254,0.9317412185937052,0.9652964333554016
adultnoniid,noniid,20,107,fair,10,0.8355000511823114,0.3608428239822387,0.9885351622479271,0.5350404312668464,0.9388547581634832,0.9647959088008178,0.9577793674845272
adultnoniid,noniid,20,123,fair,10,0.8375473436380387,0.3935444951057434,0.9863435356740712,0.5854314348570031,0.9119933572721136,0.9723867261965058,0.9531801177992824
adultnoniid,noniid,20,2025,fair,10,0.820247722387143,0.412679374217987,0.9929900706315896,0.5980282041682266,0.956983846050574,0.9678102422432446,0.963016847537732
adultnoniid,noniid,20,9928,fair,10,0.8403111884532706,0.3458907306194305,0.9902364622786364,0.5280789377512487,0.9271214467645774,0.964564707606144,0.957019561442166
