dataset,partition,num_clients,seed,mode,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,42,dp,10,0.5372,7.411616325378418,0.758242,0.9597915115413254,0.8874842158775972,0.8908472329910329,0.9808179200000002
celebanoniid,noniid,4,107,dp,10,0.5314,7.549051761627197,0.923248,0.9977418140760256,0.984247035864806,0.9841426844238268,0.95654016
celebanoniid,noniid,4,123,dp,10,0.5098,7.877275943756103,0.717812,0.9568458218909376,0.9538267272339658,0.9515031950943982,0.97813504
celebanoniid,noniid,4,2025,dp,10,0.4684,8.568379402160645,0.977128,1.0,0.9969907673133374,0.9975450934890068,0.96962304
celebanoniid,noniid,4,9928,dp,10,0.5286,7.5969929695129395,0.87203,0.996594778660613,0.9995801833418062,0.9950502200815522,0.9373798400000002
celebanoniid,noniid,20,42,dp,10,0.5244,7.656177997589111,0.771136,0.9870327993897788,0.9954361337509634,0.9937273289863888,0.95392256
celebanoniid,noniid,20,107,dp,10,0.5006,7.973565578460693,0.802644,0.9049141030763084,0.9433969071319634,0.9420647009686391,0.93381568
celebanoniid,noniid,20,123,dp,10,0.5352,7.483453273773193,0.981174,0.9809417040358744,0.997049804030896,0.9943087341191736,0.93615616
celebanoniid,noniid,20,2025,dp,10,0.4718,8.48924732208252,0.662872,0.972869860110216,0.9758343036127192,0.9747978558562954,0.94870016
celebanoniid,noniid,20,9928,dp,10,0.5322,7.540045261383057,0.99794,1.0,0.9986683940372916,0.9984555135990724,0.96748608
celebanoniid,noniid,4,42,fair,10,0.5234,0.6920760273933411,0.897384,0.0,0.906841549628449,0.9026673130701732,0.99217152
celebanoniid,noniid,4,107,fair,10,0.531,0.6912322044372559,0.99638,0.2210922787193974,0.9934735190335156,0.9942415698994038,0.97249536
celebanoniid,noniid,4,123,fair,10,0.5156,0.6929317116737366,0.8714040000000001,0.0,0.9728498720418668,0.9610590202778372,0.98976192
celebanoniid,noniid,4,2025,fair,10,0.4804,0.6973422169685364,0.944576,0.2914238134887593,0.9886189148000116,0.989821278411558,0.9648704
celebanoniid,noniid,4,9928,fair,10,0.5036,0.6931256055831909,0.932536,0.0293884034948371,0.966944491227782,0.9745881113898942,0.98388352
celebanoniid,noniid,20,42,fair,10,0.4848,0.6938490271568298,0.80226,0.0,0.9181010437933116,0.9186644224728644,0.9734790400000002
celebanoniid,noniid,20,107,fair,10,0.4718,0.7016751766204834,0.977648,0.4578211106401018,0.9742802098266916,0.9750845712088768,0.9904448
celebanoniid,noniid,20,123,fair,10,0.5156,0.6929317116737366,0.871922,0.0,0.9728498720418668,0.9610590202778372,0.99394112
celebanoniid,noniid,20,2025,fair,10,0.4804,0.6973422169685364,0.944458,0.2914238134887593,0.9886189148000116,0.989821278411558,0.99367936
celebanoniid,noniid,20,9928,fair,10,0.5036,0.6931256055831909,0.93278,0.0293884034948371,0.966944491227782,0.9745881113898942,0.98392192
celebanoniid,noniid,4,42,adv,10,0.7324,0.5170827507972717,0.976062,0.8730202075368652,0.8495204137381438,0.9288652162577655,0.9852582400000001
celebanoniid,noniid,4,107,adv,10,0.7648,0.4771013557910919,0.973604,0.8716004184100419,0.8420458513220971,0.9272698420373781,0.9728319999999999
celebanoniid,noniid,4,123,adv,10,0.7882,0.43082791566848755,0.976348,0.8672925653387465,0.8370712991755634,0.9273348024197258,0.96819072
celebanoniid,noniid,4,2025,adv,10,0.7096,0.5656496286392212,0.97904,0.8850056369785795,0.8269882804316482,0.901695738440827,0.9255411200000001
celebanoniid,noniid,4,9928,adv,10,0.7146,0.544662594795227,0.975026,0.8824517212426533,0.8431672821528186,0.9192276843491247,0.9863334399999999
celebanoniid,noniid,20,42,adv,10,0.7938,0.48257920145988464,0.979908,0.9193751574703956,0.8303394279470422,0.9180963741261103,0.95494272
celebanoniid,noniid,20,107,adv,10,0.8076,0.46660488843917847,0.980236,0.9096087171867261,0.8369718902887376,0.9295061542763412,0.9380684800000001
celebanoniid,noniid,20,123,adv,10,0.803,0.4762111306190491,0.978568,0.9123287671232877,0.8267409905561558,0.9183375245583726,0.9446771199999999
celebanoniid,noniid,20,2025,adv,10,0.8014,0.47664692997932434,0.98053,0.9141502370851011,0.8291317332062653,0.9200573342710042,0.93992448
celebanoniid,noniid,20,9928,adv,10,0.7742,0.4868072271347046,0.98005,0.9232756393696719,0.8224524418848254,0.9088892222904894,0.9618431999999999
