dataset,partition,num_clients,seed,mode,round,acc,loss,rel,res,fairDP,fairEO,priv
imdbnoniid,noniid,4,42,adv,10,0.7866,0.4648837447166443,0.716716,0.8423595219933893,,,0.95746048
imdbnoniid,noniid,4,107,adv,10,0.787,0.4645213484764099,0.7169380000000001,0.8426937738246506,,,0.959808
imdbnoniid,noniid,4,123,adv,10,0.7928,0.4587261378765106,0.7162660000000001,0.8456104944500504,,,0.9501811199999999
imdbnoniid,noniid,4,2025,adv,10,0.7914,0.4601826071739197,0.71452,0.8453373768006065,,,0.95783296
imdbnoniid,noniid,4,9928,adv,10,0.7886,0.46217381954193115,0.716364,0.8468171443063657,,,0.9563071999999999
imdbnoniid,noniid,20,42,adv,10,0.824,0.43196845054626465,0.7451220000000001,0.849757281553398,,,0.91908864
imdbnoniid,noniid,20,107,adv,10,0.8256,0.43291163444519043,0.7465459999999999,0.8478682170542635,,,0.9211212799999999
imdbnoniid,noniid,20,123,adv,10,0.8246,0.4350810647010803,0.7454160000000001,0.847926267281106,,,0.92242176
imdbnoniid,noniid,20,2025,adv,10,0.8244,0.4341607391834259,0.746888,0.8483745754488112,,,0.9209356800000001
imdbnoniid,noniid,20,9928,adv,10,0.8238,0.4348692297935486,0.74495,0.8448652585579024,,,0.91927552
imdbnoniid,noniid,4,42,dp,10,0.7814,0.4564426839351654,0.672698,0.23445098541080112,,,0.9283251200000002
imdbnoniid,noniid,4,107,dp,10,0.7886,0.45267826318740845,0.6732560000000001,0.18082678163834642,,,0.9313740799999999
imdbnoniid,noniid,4,123,dp,10,0.7736,0.47283935546875,0.677338,0.16649431230610134,,,0.8952435200000002
imdbnoniid,noniid,4,2025,dp,10,0.7754,0.4897106885910034,0.6725,0.1694609233943771,,,0.91835136
imdbnoniid,noniid,4,9928,dp,10,0.8002,0.43710166215896606,0.6794819999999999,0.20769807548112973,,,0.9004224000000001
imdbnoniid,noniid,20,42,dp,10,0.766,0.5853658318519592,0.6133500000000001,0.10287206266318538,,,0.9518976000000001
imdbnoniid,noniid,20,107,dp,10,0.7554,0.604853630065918,0.6237820000000001,0.07386814932486101,,,0.94798464
imdbnoniid,noniid,20,123,dp,10,0.7572,0.5790371298789978,0.655042,0.1555731642894876,,,0.92951552
imdbnoniid,noniid,20,2025,dp,10,0.7226,0.6125692129135132,0.626494,0.08580127318018267,,,0.9469056
imdbnoniid,noniid,20,9928,dp,10,0.7298,0.5939370393753052,0.646092,0.12496574403946287,,,0.9223705600000001
