dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
adultnoniid,noniid,4,107,acc,10,0.8648786979219981,0.2912478446960449,0.9875637219776844,0.4860930287608,0.8096617843656696,0.8804733010982537,0.8889083409967928
adultnoniid,noniid,4,123,acc,10,0.8556658818712253,0.3137955665588379,0.9889855665881871,0.5732743151094628,0.8781371431164662,0.9607532030846097,0.937017093036749
adultnoniid,noniid,4,42,acc,10,0.8605793837649708,0.3093572854995727,0.9874654519398096,0.4794813845604853,0.8629879228286335,0.9514920253772764,0.9327201894769463
adultnoniid,noniid,4,42,loss,10,0.8633432285802027,0.3004630506038666,0.9868266966936228,0.4011145364002846,0.8532804732541803,0.9697685976785324,0.911519068767226
adultnoniid,noniid,4,9928,acc,10,0.8251612242808886,0.3945085108280182,0.99058450199611,0.6393747673985858,0.9488777987667556,0.9737403903432464,0.967542145674824
adultnoniid,noniid,4,2025,acc,10,0.8572013512130208,0.3158455789089203,0.9875719111475074,0.4127059947456413,0.8744331557779252,0.9799135409190916,0.9484081468110952
adultnoniid,noniid,20,42,acc,10,0.8551540587572934,0.3158707320690155,0.9887644590029686,0.5720612880057457,0.8687664153662009,0.9518265180813004,0.9419176827039236
adultnoniid,noniid,4,107,loss,10,0.8650834271675709,0.2933035790920257,0.9876619920155594,0.4710685126020589,0.7971209645853542,0.872987866756304,0.8739419562515387
adultnoniid,noniid,20,9928,acc,10,0.8359095096734569,0.3574446737766266,0.9880601903981984,0.7063433749693853,0.9074844615381706,0.9553539741200474,0.9522403797588072
adultnoniid,noniid,20,107,acc,10,0.8467601596888116,0.3450031578540802,0.987823728119562,0.5519825918762089,0.9097793037332016,0.9934405960168892,0.9570095000070432
adultnoniid,noniid,20,123,acc,10,0.8236257549390931,0.4124190807342529,0.9909857713174328,0.7491921451652995,0.9296143133484228,0.9605767621603754,0.9699864036473372
adultnoniid,noniid,20,2025,acc,10,0.8508547446002661,0.3440707325935364,0.9876067151192548,0.5501684311838306,0.8891115895085364,0.9707409823099616,0.9628826950694274
adultnoniid,noniid,4,123,loss,10,0.8553587880028662,0.319343626499176,0.9877991606100932,0.5306366682623265,0.8759416203869157,0.974111526600162,0.9272799715060156
adultnoniid,noniid,4,2025,loss,10,0.8576108097041663,0.3130741417407989,0.9873446616849216,0.3660778228694199,0.8742591458053244,0.9784810376446836,0.9389867866526344
adultnoniid,noniid,20,107,loss,10,0.8572013512130208,0.3166757822036743,0.9862862114853108,0.4916407929304991,0.8804924940767591,0.9832287576765066,0.9390189832450276
adultnoniid,noniid,20,42,loss,10,0.8555635172484389,0.3118081092834472,0.9876865595250282,0.5325436707346255,0.8609991226229037,0.9469614279958568,0.9271696311008352
adultnoniid,noniid,4,9928,loss,10,0.8499334629951889,0.3264659345149994,0.9881021598935408,0.4308081416355533,0.9085120232807474,0.9738387907819548,0.939612440226691
