dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,42,acc,10,0.9162,0.201590433716774,0.938518,0.4586334861383977,0.8444669917309882,0.9752953389734907,0.9785664000000001
celebanoniid,noniid,4,123,acc,10,0.9028,0.2329854965209961,0.896148,0.47186530793088166,0.8577623141731605,0.9846472530863106,0.95542912
celebanoniid,noniid,4,107,acc,10,0.9096,0.21243539452552795,0.856418,0.36455584872471414,0.8482157747936855,0.9819035057847564,0.9624038399999999
celebanoniid,noniid,4,9928,acc,10,0.9158,0.21088115870952606,0.863254,0.4341559292421926,0.8466967084156605,0.9824255080483293,0.94884992
celebanoniid,noniid,20,42,acc,10,0.907,0.22270768880844116,0.944752,0.5234840132304299,0.8449993632901877,0.969541665861731,0.9407987200000001
celebanoniid,noniid,20,123,acc,10,0.8944,0.24298807978630066,0.898644,0.3823792486583184,0.8644810404249114,0.9805634017201057,0.9041151999999999
celebanoniid,noniid,20,9928,acc,10,0.9106,0.20997045934200287,0.941886,0.4886887766307929,0.8510115470405317,0.9747106765075826,0.8983692799999998
celebanoniid,noniid,20,2025,acc,10,0.9112,0.2078930139541626,0.919204,0.5285338015803336,0.8460550692370574,0.9673671467662703,0.9349619200000001
celebanoniid,noniid,20,107,acc,10,0.9124,0.2046472728252411,0.915888,0.48860149057430946,0.8565053257694946,0.9673459758015598,0.9025414400000003
celebanoniid,noniid,4,42,loss,10,0.893,0.2540099024772644,0.92452,0.40358342665173574,0.8629800483899457,0.9932789749786888,0.9773420800000001
celebanoniid,noniid,4,107,loss,10,0.9088,0.21093769371509552,0.923956,0.464568661971831,0.8552516236100214,0.9900606644503629,0.9538355200000002
celebanoniid,noniid,4,123,loss,10,0.9152,0.20362058281898499,0.92266,0.48055069930069927,0.8396386774510247,0.9722702810394883,0.9390796799999999
celebanoniid,noniid,4,9928,loss,10,0.892,0.2574482262134552,0.947666,0.4605381165919282,0.8609926922144767,0.984923996296226,0.8647398399999999
celebanoniid,noniid,4,2025,loss,10,0.8908,0.2519296407699585,0.947436,0.48967220475976647,0.8687170091891603,0.9832349602223174,0.9558988800000001
celebanoniid,noniid,20,42,loss,10,0.9094,0.2164711356163025,0.93502,0.5251814383109743,0.8401209337862874,0.9690367021397851,0.8831487999999998
celebanoniid,noniid,20,107,loss,10,0.913,0.2260589897632599,0.929156,0.4928806133625411,0.8483726929538817,0.969143713984564,0.92593536
celebanoniid,noniid,20,123,loss,10,0.9106,0.21223923563957214,0.926132,0.5016472655392049,0.8417180484638862,0.9602735413435333,0.90578944
