dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
imdbnoniid,noniid,4,123,acc,10,0.8872,0.27014675736427307,0.723646,0.3523444544634806,,,0.7607615999999999
imdbnoniid,noniid,4,42,acc,10,0.89,0.2687937617301941,0.733268,0.3707865168539326,,,0.8064614400000001
imdbnoniid,noniid,4,107,acc,10,0.8868,0.27201196551322937,0.7242120000000001,0.33874605322507895,,,0.8039091199999999
imdbnoniid,noniid,4,2025,acc,10,0.8884,0.26592519879341125,0.7265699999999999,0.34826654660063033,,,0.79312384
imdbnoniid,noniid,4,9928,acc,10,0.8922,0.26710283756256104,0.724918,0.33355749831876264,,,0.80217728
imdbnoniid,noniid,20,42,acc,10,0.8656,0.31152427196502686,0.7572019999999999,0.4701940850277264,,,0.91651712
imdbnoniid,noniid,20,107,acc,10,0.8606,0.3209523558616638,0.759626,0.4980246339762956,,,0.9379097599999999
imdbnoniid,noniid,20,123,acc,10,0.8674,0.31359344720840454,0.75819,0.4729075397740374,,,0.9090073599999999
imdbnoniid,noniid,20,2025,acc,10,0.8708,0.3041456639766693,0.7571479999999999,0.4742765273311897,,,0.8754944
imdbnoniid,noniid,4,42,loss,10,0.8892,0.2702210545539856,0.734356,0.3717948717948718,,,0.8101312
imdbnoniid,noniid,20,9928,acc,10,0.8592,0.32816973328590393,0.758094,0.4909217877094972,,,0.9253120000000001
imdbnoniid,noniid,4,107,loss,10,0.888,0.27264317870140076,0.724656,0.3448198198198198,,,0.8170419200000001
imdbnoniid,noniid,4,123,loss,10,0.8886,0.27278202772140503,0.7275860000000001,0.36866981769074947,,,0.7726656000000001
imdbnoniid,noniid,4,9928,loss,10,0.8876,0.26964232325553894,0.7267939999999999,0.3431726002703921,,,0.82359424
imdbnoniid,noniid,4,2025,loss,10,0.886,0.26882925629615784,0.724862,0.35711060948081264,,,0.77764096
imdbnoniid,noniid,20,42,loss,10,0.871,0.3061402142047882,0.759062,0.47944890929965556,,,0.9111091200000001
imdbnoniid,noniid,20,107,loss,10,0.8722,0.30210965871810913,0.758552,0.4755789956432011,,,0.8571238399999999
imdbnoniid,noniid,20,123,loss,10,0.8666,0.30765101313591003,0.755888,0.4735748903761828,,,0.88479616
imdbnoniid,noniid,20,2025,loss,10,0.8724,0.30344492197036743,0.7585459999999999,0.46813388353966073,,,0.8766310399999999
imdbnoniid,noniid,20,9928,loss,10,0.8658,0.309489905834198,0.758466,0.4839454839454839,,,0.9125657600000001
imdbnoniid,noniid,4,42,rel,10,0.791,0.5506353378295898,0.768894,0.4864728192161821,,,0.95117568
imdbnoniid,noniid,4,107,rel,10,0.8256,0.4592321217060089,0.753234,0.4433139534883721,,,0.96346752
imdbnoniid,noniid,4,123,rel,10,0.7618,0.7090649604797363,0.783896,0.5279600945129955,,,0.94924096
imdbnoniid,noniid,4,2025,rel,10,0.8348,0.40111303329467773,0.755744,0.4551988500239578,,,0.9235359999999999
imdbnoniid,noniid,4,9928,rel,10,0.8246,0.442839652299881,0.759348,0.4530681542566093,,,0.9488755200000001
imdbnoniid,noniid,20,42,rel,10,0.8672,0.31414708495140076,0.760482,0.4753228782287823,,,0.92171136
imdbnoniid,noniid,20,107,rel,10,0.8574,0.3243071734905243,0.767802,0.5040821087007231,,,0.87433984
imdbnoniid,noniid,20,123,rel,10,0.856,0.3270430266857147,0.769346,0.5044392523364486,,,0.9007129600000001
imdbnoniid,noniid,20,2025,rel,10,0.8702,0.3068661093711853,0.764436,0.4840266605378074,,,0.86248192
imdbnoniid,noniid,20,9928,rel,10,0.8722,0.30471161007881165,0.760948,0.48452189864709927,,,0.8625036800000001
imdbnoniid,noniid,4,42,res,10,0.785,0.548073947429657,0.773894,0.495031847133758,,,0.9474086399999999
imdbnoniid,noniid,4,107,res,10,0.8476,0.3960020840167999,0.745046,0.4226050023596036,,,0.9046931200000001
imdbnoniid,noniid,4,123,res,10,0.7058,0.9091349840164185,0.79783,0.6064040804760555,,,0.9536659200000002
imdbnoniid,noniid,4,2025,res,10,0.8336,0.40620312094688416,0.754904,0.4592130518234165,,,0.925872
imdbnoniid,noniid,4,9928,res,10,0.7962,0.5117112994194031,0.769298,0.49560411956794775,,,0.9380300799999999
imdbnoniid,noniid,20,42,res,10,0.865,0.3143351972103119,0.7644340000000001,0.4883236994219653,,,0.84962176
imdbnoniid,noniid,20,107,res,10,0.8666,0.31196829676628113,0.764002,0.4945765058850681,,,0.8598016000000002
imdbnoniid,noniid,20,123,res,10,0.8718,0.3060949146747589,0.7639940000000001,0.49231475108969946,,,0.88431104
imdbnoniid,noniid,20,2025,res,10,0.8686,0.31119921803474426,0.7622180000000001,0.495279760534193,,,0.9185177599999998
imdbnoniid,noniid,20,9928,res,10,0.8552,0.3285572826862335,0.767368,0.5032740879326474,,,0.89621376
imdbnoniid,noniid,4,42,priv,10,0.8808,0.2794734835624695,0.722448,0.36103542234332425,,,0.8660889599999999
imdbnoniid,noniid,4,107,priv,10,0.8868,0.27998629212379456,0.7224740000000001,0.34438430311231394,,,0.84632832
imdbnoniid,noniid,4,123,priv,10,0.8856,0.2746255397796631,0.724924,0.3602077687443541,,,0.7741363200000002
imdbnoniid,noniid,4,2025,priv,10,0.8874,0.2720915675163269,0.726302,0.3518142889339644,,,0.81485312
imdbnoniid,noniid,4,9928,priv,10,0.8796,0.2846435010433197,0.732564,0.37676216462028195,,,0.87045632
imdbnoniid,noniid,20,42,priv,10,0.86,0.3246332108974457,0.762652,0.4965116279069767,,,0.9580089600000001
imdbnoniid,noniid,20,107,priv,10,0.8722,0.3039397895336151,0.759408,0.47420316441183213,,,0.84950144
imdbnoniid,noniid,20,123,priv,10,0.8676,0.3078596293926239,0.760724,0.48616874135546334,,,0.890976
imdbnoniid,noniid,20,2025,priv,10,0.8702,0.31360599398612976,0.762308,0.47965984831073316,,,0.9264703999999999
imdbnoniid,noniid,20,9928,priv,10,0.8654,0.31490185856819153,0.7611600000000001,0.4862491333487405,,,0.9352166400000002
