dataset,K,row,metric,mean,std,n
adultnoniid,4,BL,loss,0.7119320929881539,0.030641017126278612,5
adultnoniid,20,BL,loss,0.6935300754465681,0.02445503109801272,5
celebanoniid,4,BL,loss,0.7923621535929588,0.013896145899181008,5
celebanoniid,20,BL,loss,0.8010822820102834,0.004631340269019764,5
imdbnoniid,4,BL,loss,0.5697023073447538,0.004355094837663736,5
imdbnoniid,20,BL,loss,0.5115243437682215,0.005811760708815405,5
adultnoniid,4,ST,loss,0.7352452273972665,0.010382759773963713,5
adultnoniid,20,ST,loss,0.7268150857717635,0.007259285585215816,5
celebanoniid,4,ST,loss,0.7923149584252667,0.021162550706054287,5
celebanoniid,20,ST,loss,0.8082248689565155,0.006082913578728843,5
imdbnoniid,4,ST,loss,0.5409570422946163,0.05765634114843473,5
imdbnoniid,20,ST,loss,0.506206998452914,0.002904599101418943,5
adultnoniid,4,DY,loss,0.7366768909560245,0.00867084752620523,5
adultnoniid,20,DY,loss,0.7231412989889834,0.013161362175735818,5
celebanoniid,4,DY,loss,0.8116690094507856,0.009479749254085507,5
celebanoniid,20,DY,loss,0.809152778788355,0.007844376770959297,5
imdbnoniid,4,DY,loss,0.5449178690666308,0.009989317302149107,5
imdbnoniid,20,DY,loss,0.5083564699140433,0.002281153146592429,5
adultnoniid,4,BL,acc,0.8493806940321426,0.01458106350856525,5
adultnoniid,20,BL,acc,0.8396560548674378,0.010186920755417845,5
celebanoniid,4,BL,acc,0.91324,0.0025215868019959377,5
celebanoniid,20,BL,acc,0.91324,0.003148078779192145,5
imdbnoniid,4,BL,acc,0.8180400000000001,0.0018778711350888784,5
imdbnoniid,20,BL,acc,0.6307599999999999,0.085876692996412,5
adultnoniid,4,ST,acc,0.8472310369536288,0.026575449067177955,5
adultnoniid,20,ST,acc,0.8332070836318968,0.017416864533514098,5
celebanoniid,4,ST,acc,0.91432,0.0040290941910062225,5
celebanoniid,20,ST,acc,0.9117599999999999,0.003460404600621166,5
imdbnoniid,4,ST,acc,0.74892,0.048040083263874565,5
imdbnoniid,20,ST,acc,0.51776,0.02562698577671589,5
adultnoniid,4,DY,acc,0.8452656361961305,0.026542386739720147,5
adultnoniid,20,DY,acc,0.8346197154263486,0.024170678430842467,5
