dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,iid,20,42,1,0,0.999970018863678,3.600120544433594e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0835000000000001,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.004206895828247,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,1,0.999970018863678,-7.987022399902344e-06,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0005333333333332,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0022993087768554,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,2,0.999970018863678,0.0001580119132995,1.0,0.0040733197556007,1.0,0.0,0.9055111111111112,0.0566444444444447,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0007083415985107,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,3,0.999970018863678,-2.199411392211914e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0177222222222224,,0.9999763200665708,-2.367993342922148e-05,2.367993342922148e-05,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0069305896759033,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,4,0.999970018863678,5.602836608886719e-05,1.0,0.0020366598778004,1.0,0.0,0.9055111111111112,-0.0104666666666666,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0110859870910644,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,5,0.999970018863678,-1.996755599975586e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0142666666666668,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.002392292022705,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,6,0.999970018863678,1.6033649444580078e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0011111111111112,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0005199909210205,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,7,0.999970018863678,-9.953975677490234e-06,1.0,0.0020366598778004,1.0,0.0,0.9055111111111112,-0.0030222222222222,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0004985332489013,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,8,0.999970018863678,-2.396106719970703e-05,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0006222222222223,,0.9999763200665708,-2.367993342922148e-05,2.367993342922148e-05,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0095050334930419,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,9,0.999970018863678,5.602836608886719e-05,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0156222222222222,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0012295246124267,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,10,0.999970018863678,-2.9981136322021484e-05,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0158444444444445,,0.9999763200665708,-2.367993342922148e-05,2.367993342922148e-05,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0057904720306396,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,11,0.999970018863678,0.0001299977302551,1.0,0.0020366598778004,1.0,0.0,0.9055111111111112,0.0265111111111111,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.002267837524414,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,12,0.999970018863678,-1.800060272216797e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0372333333333334,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0043885707855224,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,13,0.999970018863678,-1.1980533599853516e-05,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0167999999999999,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0100400447845458,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,14,0.999970018863678,-2.9981136322021484e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0307111111111111,,0.9999763200665708,-2.367993342922148e-05,2.367993342922148e-05,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.001810073852539,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,15,0.999970018863678,-3.993511199951172e-06,1.0,0.0,1.0,0.0,0.9055111111111112,0.0104888888888887,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0043795108795166,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,16,0.999970018863678,-7.987022399902344e-06,1.0,0.0,1.0,0.0,0.9055111111111112,-0.0067555555555556,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0007212162017822,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,17,0.999970018863678,-1.1980533599853516e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0422888888888888,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0002188682556152,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,18,0.999970018863678,-1.996755599975586e-05,1.0,0.0,1.0,0.0,0.9055111111111112,0.0655333333333334,,0.9999763200665708,-2.367993342922148e-05,2.367993342922148e-05,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,0.0031006336212158,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,1,19,0.999970018863678,-1.996755599975586e-05,1.0,0.0020366598778004,1.0,0.0,0.9055111111111112,-0.0051111111111112,,0.9999763200665708,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,2.810378313064575,-0.0007400512695312,-0.0,2.810378313064575,0.0982
cifar,iid,20,42,2,0,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.8679555555555556,0.0110888888888889,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.00504732131958,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,1,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0390666666666668,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0053229331970214,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,2,0.9999979734420776,3.993511199951172e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0394444444444443,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.004683494567871,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,3,0.9999979734420776,3.993511199951172e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0182222222222221,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0058362483978271,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,4,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0356,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0068831443786621,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,5,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.8679555555555556,0.0331333333333334,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0051074028015136,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,6,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0508222222222221,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.002547264099121,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,7,0.9999979734420776,1.96695327758789e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0353777777777779,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0026047229766845,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,8,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,-0.0074222222222222,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0046560764312744,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,9,0.9999979734420776,1.96695327758789e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0039111111111111,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0049183368682861,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,10,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0010222222222222,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0029351711273193,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,11,0.9999979734420776,1.96695327758789e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0475777777777779,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0053038597106933,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,12,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.8679555555555556,0.074788888888889,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0014488697052001,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,13,0.9999979734420776,3.993511199951172e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0152666666666667,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0064449310302734,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,14,0.9999979734420776,9.953975677490234e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0130444444444446,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0048925876617431,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,15,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,-0.0010888888888889,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0093774795532226,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,16,0.9999979734420776,1.996755599975586e-05,1.0,0.0,1.0,0.0,0.8679555555555556,0.0849999999999999,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,-0.0011568069458007,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,17,0.9999979734420776,-2.026557922363281e-06,1.0,0.0,1.0,0.0,0.8679555555555556,0.0117333333333333,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0012686252593994,-0.0,3.212122678756714,0.0982
cifar,iid,20,42,2,18,0.9999979734420776,0.0,1.0,0.0,1.0,0.0,0.8679555555555556,0.0441333333333333,,1.0,0.0,0.0,0.0982,0.0098199999999999,0.1,0.0178838098706975,3.212122678756714,0.0062723159790039,-0.0,3.212122678756714,0.0982
