client,age,education_years,hours_per_week,sex,income
client_0,43.7,12,38.2,M,1
client_0,27.5,12,42.0,M,1
client_0,49.0,8,48.2,F,1
client_0,51.3,12,36.1,M,1
client_0,18.0,11,45.2,M,1
client_0,24.4,10,37.3,M,1
client_0,41.5,14,38.8,M,1
client_0,36.2,13,48.3,M,1
client_0,39.8,11,20.1,F,0
client_0,29.8,13,27.0,F,1
client_0,50.6,14,25.2,F,0
client_0,49.3,12,16.7,M,0
client_0,40.8,8,33.2,F,0
client_0,53.5,14,47.5,F,1
client_0,45.6,13,37.2,M,1
client_0,29.7,16,42.0,F,1
client_0,44.4,7,50.9,F,0
client_0,28.5,10,53.3,F,1
client_0,50.5,16,39.3,F,1
client_0,39.4,11,53.5,F,0
client_0,37.8,16,40.9,M,1
client_0,31.8,6,31.6,F,0
client_0,54.7,6,34.1,F,0
client_0,38.1,14,25.2,M,1
client_0,34.9,9,31.1,F,0
client_0,35.8,11,36.4,M,0
client_0,46.4,10,48.0,M,0
client_0,44.4,10,57.2,M,0
client_0,45.0,16,26.2,F,1
client_0,45.2,7,43.9,F,0
client_0,65.7,14,29.6,M,1
client_0,35.1,15,44.7,F,1
client_0,33.9,13,38.7,M,1
client_0,30.2,10,21.7,F,0
client_0,47.4,7,49.3,F,0
client_0,53.5,13,33.9,M,1
client_0,38.6,11,34.7,M,1
client_0,29.9,7,29.3,M,0
client_0,30.1,9,33.5,M,0
client_0,47.8,16,44.3,F,1
client_0,48.9,8,38.1,M,0
client_0,46.5,7,43.3,M,0
client_0,32.0,13,43.6,F,1
client_0,42.8,8,53.2,F,0
client_0,41.4,16,36.6,M,1
client_0,42.6,15,25.2,F,1
client_0,50.5,16,50.7,M,1
client_0,42.7,16,36.7,F,1
client_0,48.1,8,51.1,F,0
client_0,40.8,8,43.8,F,0
client_0,43.5,9,38.7,F,0
client_0,47.6,11,43.5,M,1
client_0,22.5,15,59.5,M,1
client_0,36.2,14,60.8,M,1
client_0,34.4,13,40.7,M,0
client_0,32.3,15,41.6,F,1
client_0,36.7,13,50.8,M,1
client_0,57.9,10,31.5,M,0
client_0,29.6,10,43.3,M,0
client_0,51.6,11,39.7,M,1
client_0,19.8,6,43.1,M,0
client_0,36.0,14,31.7,M,1
client_0,42.0,13,24.1,M,0
client_0,47.0,14,19.3,M,1
client_0,48.5,11,28.8,M,0
client_0,49.5,14,35.4,F,1
client_0,35.8,16,37.1,F,1
client_0,34.5,12,59.4,M,1
client_0,50.3,10,51.1,F,0
client_0,37.7,7,30.4,F,0
client_0,24.7,14,43.5,M,1
client_0,26.4,15,35.9,M,1
client_0,29.0,13,37.2,M,0
client_0,46.0,15,41.9,F,1
client_0,41.7,15,46.2,F,1
client_0,48.3,14,36.6,M,1
client_0,34.9,11,50.6,M,1
client_0,41.9,7,28.6,F,0
client_0,47.5,6,40.1,M,0
client_0,36.3,8,66.0,F,0
client_0,45.5,10,42.2,M,1
client_0,32.1,14,54.3,M,1
client_0,35.6,11,40.9,M,0
client_0,35.4,6,45.8,M,1
client_0,25.6,8,39.4,F,0
client_0,45.8,16,38.3,F,1
client_0,34.4,16,32.2,F,1
client_0,40.1,10,44.3,M,1
client_0,45.8,14,31.5,M,1
client_0,45.4,13,46.7,M,1
client_0,48.0,16,50.9,F,1
client_0,38.8,15,43.7,F,1
client_0,34.9,12,37.1,M,1
client_0,39.0,10,44.5,M,0
client_0,19.8,12,36.9,M,1
client_0,22.6,9,49.4,F,0
client_0,24.1,9,21.7,F,0
client_0,28.0,12,36.6,M,0
client_0,44.8,12,20.1,M,0
client_0,29.1,12,25.0,F,1
client_0,35.5,10,53.6,M,0
client_0,55.6,10,49.0,F,1
client_0,35.7,6,32.8,F,0
client_0,48.9,12,25.0,M,0
client_0,28.8,12,10.4,M,0
client_0,37.5,16,34.6,M,1
client_0,28.6,11,64.2,F,1
client_0,35.9,11,44.3,M,0
client_0,50.1,6,34.4,M,0
client_0,19.3,8,44.7,M,0
client_0,45.2,9,24.4,F,0
client_0,42.9,10,37.0,M,0
client_0,32.9,9,41.0,M,0
client_0,22.6,10,39.1,M,0
client_0,40.9,14,47.9,F,0
client_0,33.6,7,43.4,M,0
client_0,42.8,9,46.7,F,0
client_0,40.3,7,33.1,F,0
client_0,59.2,9,49.0,M,1
client_0,37.1,13,56.3,F,1
client_0,27.7,6,30.3,M,0
client_0,42.2,9,31.1,F,0
client_0,42.6,6,53.4,M,0
client_0,56.3,16,38.1,M,1
client_0,50.0,13,54.0,M,1
client_0,44.3,8,35.6,F,1
client_0,57.6,8,54.6,F,0
client_0,25.7,7,41.3,F,0
client_0,32.3,11,42.6,F,0
client_0,28.9,14,55.6,M,1
client_0,35.3,12,36.4,F,0
client_0,23.5,15,30.6,F,1
client_0,47.6,9,35.5,F,0
client_0,37.3,9,44.5,F,1
client_0,22.4,11,24.3,M,0
client_0,27.8,8,46.4,M,0
client_0,43.8,16,34.6,F,1
client_0,50.1,8,51.5,M,1
client_0,64.0,11,16.1,M,0
client_0,75.0,11,32.1,F,1
client_0,45.0,6,23.1,F,0
client_0,28.1,11,31.7,F,0
client_0,18.0,11,42.5,F,0
client_0,43.2,8,38.2,F,0
client_0,30.2,7,37.5,F,0
client_0,35.0,6,38.4,M,0
client_0,32.7,6,42.0,F,0
client_0,38.3,11,29.9,M,0
client_0,52.8,6,47.1,F,0
client_0,41.9,16,46.6,F,1
client_0,38.1,8,43.9,M,0
client_0,27.6,13,45.6,M,1
client_0,19.9,13,43.0,M,1
client_0,34.2,11,60.4,F,0
client_0,39.4,15,39.1,F,1
client_0,61.2,7,36.9,F,1
client_0,41.6,8,32.5,F,0
client_0,51.8,8,29.7,M,0
client_0,34.0,7,27.6,F,0
client_0,25.8,9,31.1,F,0
client_0,28.4,9,39.3,M,0
client_0,31.3,14,43.3,F,1
client_0,65.5,9,40.5,F,1
client_0,30.1,15,32.3,F,1
client_0,50.1,14,49.0,F,1
client_0,29.2,15,47.4,M,1
client_0,51.2,7,38.4,M,0
client_0,44.6,16,33.5,M,1
client_0,38.1,12,45.5,F,1
client_0,39.5,16,41.9,M,1
client_0,32.1,9,25.5,M,0
client_0,45.4,16,39.3,F,1
