setting,K,seed,res
BL,4,42,0.5082
BL,4,107,0.5175
BL,4,123,0.5186
BL,4,2025,0.5112
BL,4,9928,0.5464
BL,20,42,0.4999
BL,20,107,0.5256
BL,20,123,0.5506
BL,20,2025,0.562
BL,20,9928,0.524
ST,4,42,0.6451
ST,4,107,0.5587
ST,4,123,0.8158
ST,4,2025,0.6612
ST,4,9928,0.5466
ST,20,42,0.4906
ST,20,107,0.9957
ST,20,123,0.3356
ST,20,2025,0.537
ST,20,9928,0.402
DY,4,42,0.5333
DY,4,107,0.4973
DY,4,123,0.5068
DY,4,2025,0.4786
DY,4,9928,0.7156
DY,20,42,0.4442
DY,20,107,0.6059
DY,20,123,0.2303
DY,20,2025,0.5452
DY,20,9928,0.4968
