dataset,num_clients,seed,target_group,condition,eval_metric,value
adultnoniid,4,42,fairness,BL,acc,0.8421537516634251
adultnoniid,4,42,fairness,BL,loss,0.3538232445716858
adultnoniid,4,42,fairness,BL,rel,0.9896540075749821
adultnoniid,4,42,fairness,BL,res,0.9391029536890726
adultnoniid,4,42,fairness,BL,fairDP,0.8979139603175954
adultnoniid,4,42,fairness,BL,fairEO,0.9635680651193514
adultnoniid,4,42,fairness,BL,priv,0.9587890324991062
adultnoniid,4,42,robustness,BL,acc,0.8421537516634251
adultnoniid,4,42,robustness,BL,loss,0.3538232445716858
adultnoniid,4,42,robustness,BL,rel,0.9896540075749821
adultnoniid,4,42,robustness,BL,res,0.9391029536890726
adultnoniid,4,42,robustness,BL,fairDP,0.8979139603175954
adultnoniid,4,42,robustness,BL,fairEO,0.9635680651193514
adultnoniid,4,42,robustness,BL,priv,0.9587890324991062
adultnoniid,4,42,privacy,BL,acc,0.8421537516634251
adultnoniid,4,42,privacy,BL,loss,0.3538232445716858
adultnoniid,4,42,privacy,BL,rel,0.9896540075749821
adultnoniid,4,42,privacy,BL,res,0.9391029536890726
adultnoniid,4,42,privacy,BL,fairDP,0.8979139603175954
adultnoniid,4,42,privacy,BL,fairEO,0.9635680651193514
adultnoniid,4,42,privacy,BL,priv,0.9587890324991062
adultnoniid,4,42,fairness,ST,acc,0.788002866209438
adultnoniid,4,42,fairness,ST,loss,0.6867288947105408
adultnoniid,4,42,fairness,ST,rel,0.9967274030095199
adultnoniid,4,42,fairness,ST,res,0.9883086515978177
adultnoniid,4,42,fairness,ST,fairDP,0.9752895438962729
adultnoniid,4,42,fairness,ST,fairEO,0.9949773648431124
adultnoniid,4,42,fairness,ST,priv,0.9642300889229636
adultnoniid,4,42,fairness,DY,acc,0.7863650322448562
adultnoniid,4,42,fairness,DY,loss,0.73387211561203
adultnoniid,4,42,fairness,DY,rel,0.9972126113215273
adultnoniid,4,42,fairness,DY,res,0.988414475397032
adultnoniid,4,42,fairness,DY,fairDP,0.9758929297398691
adultnoniid,4,42,fairness,DY,fairEO,0.9924153612836877
adultnoniid,4,42,fairness,DY,priv,0.9620078532854945
adultnoniid,4,42,robustness,ST,acc,0.7887194185689426
adultnoniid,4,42,robustness,ST,loss,0.6876909136772156
adultnoniid,4,42,robustness,ST,rel,0.9970928447128672
adultnoniid,4,42,robustness,ST,res,0.9903958468526931
adultnoniid,4,42,robustness,ST,fairDP,0.9723701850622768
adultnoniid,4,42,robustness,ST,fairEO,0.9866480593779705
adultnoniid,4,42,robustness,ST,priv,0.9789197842023394
adultnoniid,4,42,robustness,DY,acc,0.7873886784727199
adultnoniid,4,42,robustness,DY,loss,0.7309618592262268
adultnoniid,4,42,robustness,DY,rel,0.997124577745931
adultnoniid,4,42,robustness,DY,res,0.9894695787831513
adultnoniid,4,42,robustness,DY,fairDP,0.9729758872570431
adultnoniid,4,42,robustness,DY,fairEO,0.9849773089651722
adultnoniid,4,42,robustness,DY,priv,0.9844077939901035
adultnoniid,4,42,privacy,ST,acc,0.7834988228068379
