dataset,num_clients,seed,target_group,condition,eval_metric,value
celebanoniid,4,42,fairness,BL,acc,0.9138
celebanoniid,4,42,fairness,BL,loss,0.25451722741127014
celebanoniid,4,42,fairness,BL,rel,0.900616
celebanoniid,4,42,fairness,BL,res,0.0004377325454147929
celebanoniid,4,42,fairness,BL,fairDP,0.8445409322253213
celebanoniid,4,42,fairness,BL,fairEO,0.9683226047099573
celebanoniid,4,42,fairness,BL,priv,0.9037145600000001
celebanoniid,4,42,robustness,BL,acc,0.9138
celebanoniid,4,42,robustness,BL,loss,0.25451722741127014
celebanoniid,4,42,robustness,BL,rel,0.900616
celebanoniid,4,42,robustness,BL,res,0.0004377325454147929
celebanoniid,4,42,robustness,BL,fairDP,0.8445409322253213
celebanoniid,4,42,robustness,BL,fairEO,0.9683226047099573
celebanoniid,4,42,robustness,BL,priv,0.9037145600000001
celebanoniid,4,42,privacy,BL,acc,0.9138
celebanoniid,4,42,privacy,BL,loss,0.25451722741127014
celebanoniid,4,42,privacy,BL,rel,0.900616
celebanoniid,4,42,privacy,BL,res,0.0004377325454147929
celebanoniid,4,42,privacy,BL,fairDP,0.8445409322253213
celebanoniid,4,42,privacy,BL,fairEO,0.9683226047099573
celebanoniid,4,42,privacy,BL,priv,0.9037145600000001
celebanoniid,4,107,fairness,BL,acc,0.9184
celebanoniid,4,107,fairness,BL,loss,0.217424675822258
celebanoniid,4,107,fairness,BL,rel,0.91524
celebanoniid,4,107,fairness,BL,res,0.0008710801393728707
celebanoniid,4,107,fairness,BL,fairDP,0.8371509905972337
celebanoniid,4,107,fairness,BL,fairEO,0.970662681386382
celebanoniid,4,107,fairness,BL,priv,0.8979366400000002
celebanoniid,4,107,robustness,BL,acc,0.9184
celebanoniid,4,107,robustness,BL,loss,0.217424675822258
celebanoniid,4,107,robustness,BL,rel,0.91524
celebanoniid,4,107,robustness,BL,res,0.0008710801393728707
celebanoniid,4,107,robustness,BL,fairDP,0.8371509905972337
celebanoniid,4,107,robustness,BL,fairEO,0.970662681386382
celebanoniid,4,107,robustness,BL,priv,0.8979366400000002
celebanoniid,4,107,privacy,BL,acc,0.9184
celebanoniid,4,107,privacy,BL,loss,0.217424675822258
celebanoniid,4,107,privacy,BL,rel,0.91524
celebanoniid,4,107,privacy,BL,res,0.0008710801393728707
celebanoniid,4,107,privacy,BL,fairDP,0.8371509905972337
celebanoniid,4,107,privacy,BL,fairEO,0.970662681386382
celebanoniid,4,107,privacy,BL,priv,0.8979366400000002
celebanoniid,4,123,fairness,BL,acc,0.9082
celebanoniid,4,123,fairness,BL,loss,0.2443053424358368
celebanoniid,4,123,fairness,BL,rel,0.88261
celebanoniid,4,123,fairness,BL,res,0.00022021581149522795
celebanoniid,4,123,fairness,BL,fairDP,0.843163995908626
celebanoniid,4,123,fairness,BL,fairEO,0.967818156074006
celebanoniid,4,123,fairness,BL,priv,0.9073094400000001
celebanoniid,4,123,robustness,BL,acc,0.9082
celebanoniid,4,123,robustness,BL,loss,0.2443053424358368
celebanoniid,4,123,robustness,BL,rel,0.88261
celebanoniid,4,123,robustness,BL,res,0.00022021581149522795
celebanoniid,4,123,robustness,BL,fairDP,0.843163995908626
celebanoniid,4,123,robustness,BL,fairEO,0.967818156074006
celebanoniid,4,123,robustness,BL,priv,0.9073094400000001
celebanoniid,4,123,privacy,BL,acc,0.9082
celebanoniid,4,123,privacy,BL,loss,0.2443053424358368
celebanoniid,4,123,privacy,BL,rel,0.88261
celebanoniid,4,123,privacy,BL,res,0.00022021581149522795
celebanoniid,4,123,privacy,BL,fairDP,0.843163995908626
celebanoniid,4,123,privacy,BL,fairEO,0.967818156074006
celebanoniid,4,123,privacy,BL,priv,0.9073094400000001
celebanoniid,4,2025,fairness,BL,acc,0.918
celebanoniid,4,2025,fairness,BL,loss,0.2028043419122696
celebanoniid,4,2025,fairness,BL,rel,0.91506
celebanoniid,4,2025,fairness,BL,res,0.0008714596949891407
celebanoniid,4,2025,fairness,BL,fairDP,0.841455970489527
celebanoniid,4,2025,fairness,BL,fairEO,0.9682333952020994
celebanoniid,4,2025,fairness,BL,priv,0.95749632
celebanoniid,4,2025,robustness,BL,acc,0.918
celebanoniid,4,2025,robustness,BL,loss,0.2028043419122696
celebanoniid,4,2025,robustness,BL,rel,0.91506
celebanoniid,4,2025,robustness,BL,res,0.0008714596949891407
celebanoniid,4,2025,robustness,BL,fairDP,0.841455970489527
celebanoniid,4,2025,robustness,BL,fairEO,0.9682333952020994
celebanoniid,4,2025,robustness,BL,priv,0.95749632
celebanoniid,4,2025,privacy,BL,acc,0.918
celebanoniid,4,2025,privacy,BL,loss,0.2028043419122696
celebanoniid,4,2025,privacy,BL,rel,0.91506
celebanoniid,4,2025,privacy,BL,res,0.0008714596949891407
