dataset,num_clients,seed,target_group,condition,eval_metric,value
imdbnoniid,20,42,fairness,BL,acc,0.8698
imdbnoniid,20,42,fairness,BL,loss,0.3073223829269409
imdbnoniid,20,42,fairness,BL,rel,0.760302
imdbnoniid,20,42,fairness,BL,res,0.4732122326971718
imdbnoniid,20,42,fairness,BL,fairDP,
imdbnoniid,20,42,fairness,BL,fairEO,
imdbnoniid,20,42,fairness,BL,priv,0.9013132800000001
imdbnoniid,20,42,robustness,BL,acc,0.8698
imdbnoniid,20,42,robustness,BL,loss,0.3073223829269409
imdbnoniid,20,42,robustness,BL,rel,0.760302
imdbnoniid,20,42,robustness,BL,res,0.4732122326971718
imdbnoniid,20,42,robustness,BL,fairDP,
imdbnoniid,20,42,robustness,BL,fairEO,
imdbnoniid,20,42,robustness,BL,priv,0.9013132800000001
imdbnoniid,20,42,privacy,BL,acc,0.8698
imdbnoniid,20,42,privacy,BL,loss,0.3073223829269409
imdbnoniid,20,42,privacy,BL,rel,0.760302
imdbnoniid,20,42,privacy,BL,res,0.4732122326971718
imdbnoniid,20,42,privacy,BL,fairDP,
imdbnoniid,20,42,privacy,BL,fairEO,
imdbnoniid,20,42,privacy,BL,priv,0.9013132800000001
imdbnoniid,20,42,robustness,ST,acc,0.7268
imdbnoniid,20,42,robustness,ST,loss,0.6535770297050476
imdbnoniid,20,42,robustness,ST,rel,0.800542
imdbnoniid,20,42,robustness,ST,res,0.6309851403412218
imdbnoniid,20,42,robustness,ST,fairDP,
imdbnoniid,20,42,robustness,ST,fairEO,
imdbnoniid,20,42,robustness,ST,priv,0.9673132800000002
imdbnoniid,20,42,robustness,DY,acc,0.7268
imdbnoniid,20,42,robustness,DY,loss,0.6535770297050476
imdbnoniid,20,42,robustness,DY,rel,0.799958
imdbnoniid,20,42,robustness,DY,res,0.6309851403412218
imdbnoniid,20,42,robustness,DY,fairDP,
imdbnoniid,20,42,robustness,DY,fairEO,
imdbnoniid,20,42,robustness,DY,priv,0.9673132800000002
imdbnoniid,20,42,privacy,ST,acc,0.8656
imdbnoniid,20,42,privacy,ST,loss,0.3130587041378021
imdbnoniid,20,42,privacy,ST,rel,0.76159
imdbnoniid,20,42,privacy,ST,res,0.4819778188539741
imdbnoniid,20,42,privacy,ST,fairDP,
imdbnoniid,20,42,privacy,ST,fairEO,
imdbnoniid,20,42,privacy,ST,priv,0.9284032
imdbnoniid,20,42,privacy,DY,acc,0.8654
imdbnoniid,20,42,privacy,DY,loss,0.31410375237464905
imdbnoniid,20,42,privacy,DY,rel,0.7624759999999999
imdbnoniid,20,42,privacy,DY,res,0.4825514213080656
imdbnoniid,20,42,privacy,DY,fairDP,
imdbnoniid,20,42,privacy,DY,fairEO,
imdbnoniid,20,42,privacy,DY,priv,0.8372198399999999
imdbnoniid,20,107,fairness,BL,acc,0.8706
imdbnoniid,20,107,fairness,BL,loss,0.3050113618373871
imdbnoniid,20,107,fairness,BL,rel,0.7619
imdbnoniid,20,107,fairness,BL,res,0.48564208591775787
imdbnoniid,20,107,fairness,BL,fairDP,
imdbnoniid,20,107,fairness,BL,fairEO,
imdbnoniid,20,107,fairness,BL,priv,0.8592243199999998
imdbnoniid,20,107,robustness,BL,acc,0.8706
imdbnoniid,20,107,robustness,BL,loss,0.3050113618373871
imdbnoniid,20,107,robustness,BL,rel,0.7619
imdbnoniid,20,107,robustness,BL,res,0.48564208591775787
imdbnoniid,20,107,robustness,BL,fairDP,
imdbnoniid,20,107,robustness,BL,fairEO,
imdbnoniid,20,107,robustness,BL,priv,0.8592243199999998
imdbnoniid,20,107,privacy,BL,acc,0.8706
imdbnoniid,20,107,privacy,BL,loss,0.3050113618373871
imdbnoniid,20,107,privacy,BL,rel,0.7619
imdbnoniid,20,107,privacy,BL,res,0.48564208591775787
imdbnoniid,20,107,privacy,BL,fairDP,
imdbnoniid,20,107,privacy,BL,fairEO,
imdbnoniid,20,107,privacy,BL,priv,0.8592243199999998
imdbnoniid,20,107,robustness,ST,acc,0.4972
imdbnoniid,20,107,robustness,ST,loss,2.7440474033355713
imdbnoniid,20,107,robustness,ST,rel,0.979354
imdbnoniid,20,107,robustness,ST,res,
imdbnoniid,20,107,robustness,ST,fairDP,
imdbnoniid,20,107,robustness,ST,fairEO,
imdbnoniid,20,107,robustness,ST,priv,0.97434752
imdbnoniid,20,107,robustness,DY,acc,0.7784
imdbnoniid,20,107,robustness,DY,loss,0.47891756892204285
imdbnoniid,20,107,robustness,DY,rel,0.7850699999999999
imdbnoniid,20,107,robustness,DY,res,0.5865878725590956
imdbnoniid,20,107,robustness,DY,fairDP,
imdbnoniid,20,107,robustness,DY,fairEO,
imdbnoniid,20,107,robustness,DY,priv,0.92802176
imdbnoniid,20,107,privacy,ST,acc,0.8704
imdbnoniid,20,107,privacy,ST,loss,0.3052833378314972
imdbnoniid,20,107,privacy,ST,rel,0.762984
imdbnoniid,20,107,privacy,ST,res,0.48552389705882354
imdbnoniid,20,107,privacy,ST,fairDP,
imdbnoniid,20,107,privacy,ST,fairEO,
imdbnoniid,20,107,privacy,ST,priv,0.85706496
imdbnoniid,20,107,privacy,DY,acc,0.87
imdbnoniid,20,107,privacy,DY,loss,0.30726367235183716
imdbnoniid,20,107,privacy,DY,rel,0.762262
imdbnoniid,20,107,privacy,DY,res,0.487816091954023
imdbnoniid,20,107,privacy,DY,fairDP,
imdbnoniid,20,107,privacy,DY,fairEO,
imdbnoniid,20,107,privacy,DY,priv,0.89927936
imdbnoniid,20,123,fairness,BL,acc,0.8696
imdbnoniid,20,123,fairness,BL,loss,0.3047943711280823
imdbnoniid,20,123,fairness,BL,rel,0.759976
imdbnoniid,20,123,fairness,BL,res,0.47079116835326584
imdbnoniid,20,123,fairness,BL,fairDP,
imdbnoniid,20,123,fairness,BL,fairEO,
imdbnoniid,20,123,fairness,BL,priv,0.8565247999999999
imdbnoniid,20,123,robustness,BL,acc,0.8696
imdbnoniid,20,123,robustness,BL,loss,0.3047943711280823
imdbnoniid,20,123,robustness,BL,rel,0.759976
imdbnoniid,20,123,robustness,BL,res,0.47079116835326584
imdbnoniid,20,123,robustness,BL,fairDP,
imdbnoniid,20,123,robustness,BL,fairEO,
imdbnoniid,20,123,robustness,BL,priv,0.8565247999999999
imdbnoniid,20,123,privacy,BL,acc,0.8696
imdbnoniid,20,123,privacy,BL,loss,0.3047943711280823
imdbnoniid,20,123,privacy,BL,rel,0.759976
imdbnoniid,20,123,privacy,BL,res,0.47079116835326584
imdbnoniid,20,123,privacy,BL,fairDP,
imdbnoniid,20,123,privacy,BL,fairEO,
imdbnoniid,20,123,privacy,BL,priv,0.8565247999999999
imdbnoniid,20,123,robustness,ST,acc,0.7788
imdbnoniid,20,123,robustness,ST,loss,0.5160856246948242
imdbnoniid,20,123,robustness,ST,rel,0.780322
imdbnoniid,20,123,robustness,ST,res,0.5613764766307139
imdbnoniid,20,123,robustness,ST,fairDP,
imdbnoniid,20,123,robustness,ST,fairEO,
imdbnoniid,20,123,robustness,ST,priv,0.98339968
imdbnoniid,20,123,robustness,DY,acc,0.7788
imdbnoniid,20,123,robustness,DY,loss,0.5160856246948242
imdbnoniid,20,123,robustness,DY,rel,0.78133
imdbnoniid,20,123,robustness,DY,res,0.5613764766307139
imdbnoniid,20,123,robustness,DY,fairDP,
imdbnoniid,20,123,robustness,DY,fairEO,
imdbnoniid,20,123,robustness,DY,priv,0.98339968
imdbnoniid,20,123,privacy,ST,acc,0.8658
imdbnoniid,20,123,privacy,ST,loss,0.3131639063358307
imdbnoniid,20,123,privacy,ST,rel,0.761464
imdbnoniid,20,123,privacy,ST,res,0.48255948255948256
imdbnoniid,20,123,privacy,ST,fairDP,
imdbnoniid,20,123,privacy,ST,fairEO,
imdbnoniid,20,123,privacy,ST,priv,0.93195136
imdbnoniid,20,123,privacy,DY,acc,0.8698
imdbnoniid,20,123,privacy,DY,loss,0.3055083453655243
imdbnoniid,20,123,privacy,DY,rel,0.760292
imdbnoniid,20,123,privacy,DY,res,0.4759714876983214
imdbnoniid,20,123,privacy,DY,fairDP,
imdbnoniid,20,123,privacy,DY,fairEO,
imdbnoniid,20,123,privacy,DY,priv,0.88296448
imdbnoniid,20,2025,fairness,BL,acc,0.8692
imdbnoniid,20,2025,fairness,BL,loss,0.30941274762153625
imdbnoniid,20,2025,fairness,BL,rel,0.759556
imdbnoniid,20,2025,fairness,BL,res,0.48228255867464337
imdbnoniid,20,2025,fairness,BL,fairDP,
imdbnoniid,20,2025,fairness,BL,fairEO,
imdbnoniid,20,2025,fairness,BL,priv,0.90634496
imdbnoniid,20,2025,robustness,BL,acc,0.8692
imdbnoniid,20,2025,robustness,BL,loss,0.30941274762153625
imdbnoniid,20,2025,robustness,BL,rel,0.759556
imdbnoniid,20,2025,robustness,BL,res,0.48228255867464337
imdbnoniid,20,2025,robustness,BL,fairDP,
imdbnoniid,20,2025,robustness,BL,fairEO,
imdbnoniid,20,2025,robustness,BL,priv,0.90634496
imdbnoniid,20,2025,privacy,BL,acc,0.8692
imdbnoniid,20,2025,privacy,BL,loss,0.30941274762153625
imdbnoniid,20,2025,privacy,BL,rel,0.759556
imdbnoniid,20,2025,privacy,BL,res,0.48228255867464337
imdbnoniid,20,2025,privacy,BL,fairDP,
imdbnoniid,20,2025,privacy,BL,fairEO,
imdbnoniid,20,2025,privacy,BL,priv,0.90634496
imdbnoniid,20,2025,robustness,ST,acc,0.8348
imdbnoniid,20,2025,robustness,ST,loss,0.3704357445240021
imdbnoniid,20,2025,robustness,ST,rel,0.77063
imdbnoniid,20,2025,robustness,ST,res,0.5184475323430762
imdbnoniid,20,2025,robustness,ST,fairDP,
imdbnoniid,20,2025,robustness,ST,fairEO,
imdbnoniid,20,2025,robustness,ST,priv,0.9375718399999999
imdbnoniid,20,2025,robustness,DY,acc,0.8352
imdbnoniid,20,2025,robustness,DY,loss,0.3701117932796478
imdbnoniid,20,2025,robustness,DY,rel,0.7695879999999999
imdbnoniid,20,2025,robustness,DY,res,0.5181992337164751
imdbnoniid,20,2025,robustness,DY,fairDP,
imdbnoniid,20,2025,robustness,DY,fairEO,
imdbnoniid,20,2025,robustness,DY,priv,0.93558784
imdbnoniid,20,2025,privacy,ST,acc,0.8702
imdbnoniid,20,2025,privacy,ST,loss,0.3080146908760071
imdbnoniid,20,2025,privacy,ST,rel,0.76069
imdbnoniid,20,2025,privacy,ST,res,0.4787405194208228
imdbnoniid,20,2025,privacy,ST,fairDP,
imdbnoniid,20,2025,privacy,ST,fairEO,
imdbnoniid,20,2025,privacy,ST,priv,0.8655424
imdbnoniid,20,2025,privacy,DY,acc,0.8672
imdbnoniid,20,2025,privacy,DY,loss,0.31782853603363037
imdbnoniid,20,2025,privacy,DY,rel,0.76061
imdbnoniid,20,2025,privacy,DY,res,0.49308118081180813
imdbnoniid,20,2025,privacy,DY,fairDP,
imdbnoniid,20,2025,privacy,DY,fairEO,
imdbnoniid,20,2025,privacy,DY,priv,0.9408665599999999
imdbnoniid,20,9928,fairness,BL,acc,0.8728
imdbnoniid,20,9928,fairness,BL,loss,0.30366620421409607
imdbnoniid,20,9928,fairness,BL,rel,0.759802
imdbnoniid,20,9928,fairness,BL,res,0.4770852428964253
imdbnoniid,20,9928,fairness,BL,fairDP,
imdbnoniid,20,9928,fairness,BL,fairEO,
imdbnoniid,20,9928,fairness,BL,priv,0.8883328000000001
imdbnoniid,20,9928,robustness,BL,acc,0.8728
imdbnoniid,20,9928,robustness,BL,loss,0.30366620421409607
imdbnoniid,20,9928,robustness,BL,rel,0.759802
imdbnoniid,20,9928,robustness,BL,res,0.4770852428964253
imdbnoniid,20,9928,robustness,BL,fairDP,
imdbnoniid,20,9928,robustness,BL,fairEO,
imdbnoniid,20,9928,robustness,BL,priv,0.8883328000000001
imdbnoniid,20,9928,privacy,BL,acc,0.8728
imdbnoniid,20,9928,privacy,BL,loss,0.30366620421409607
imdbnoniid,20,9928,privacy,BL,rel,0.759802
imdbnoniid,20,9928,privacy,BL,res,0.4770852428964253
imdbnoniid,20,9928,privacy,BL,fairDP,
imdbnoniid,20,9928,privacy,BL,fairEO,
imdbnoniid,20,9928,privacy,BL,priv,0.8883328000000001
imdbnoniid,20,9928,robustness,ST,acc,0.8338
imdbnoniid,20,9928,robustness,ST,loss,0.3902837038040161
imdbnoniid,20,9928,robustness,ST,rel,0.77063
imdbnoniid,20,9928,robustness,ST,res,0.5332213960182298
imdbnoniid,20,9928,robustness,ST,fairDP,
imdbnoniid,20,9928,robustness,ST,fairEO,
imdbnoniid,20,9928,robustness,ST,priv,0.9544684800000001
imdbnoniid,20,9928,robustness,DY,acc,0.8338
imdbnoniid,20,9928,robustness,DY,loss,0.3902837038040161
imdbnoniid,20,9928,robustness,DY,rel,0.769738
imdbnoniid,20,9928,robustness,DY,res,0.5332213960182298
imdbnoniid,20,9928,robustness,DY,fairDP,
imdbnoniid,20,9928,robustness,DY,fairEO,
imdbnoniid,20,9928,robustness,DY,priv,0.9544684800000001
imdbnoniid,20,9928,privacy,ST,acc,0.8728
imdbnoniid,20,9928,privacy,ST,loss,0.30289921164512634
imdbnoniid,20,9928,privacy,ST,rel,0.760106
